ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
627586,DYNABOOK INC.,,non_canonical_customer_no_title_brand,NA,Dynabook Inc.,2021-07-06 03:47:00,[Dynabook] [Win10] Unable to search for WLAN APs after reboot machine with HrP2 2nd source Unit when testing AMT function
627586,DYNABOOK INC.,,non_canonical_customer_no_title_brand,NA,Dynabook Inc.,2021-07-06 03:47:00,[Dynabook] [Win10] Unable to search for WLAN APs after reboot machine with HrP2 2nd source Unit when testing AMT function
625414,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-06-27 23:35:00,[Realme][HUAQIN][Intel TGL][Intel ax201/intel 9560][21H1]To try again click the black arrow is displayed on DUT B when DUT A use Bluetooth to transfer files to DUT B. (FR:5%).
625414,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-06-27 23:35:00,[Realme][HUAQIN][Intel TGL][Intel ax201/intel 9560][21H1]To try again click the black arrow is displayed on DUT B when DUT A use Bluetooth to transfer files to DUT B. (FR:5%).
625414,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-06-27 23:35:00,[Realme][HUAQIN][Intel TGL][Intel ax201/intel 9560][21H1]To try again click the black arrow is displayed on DUT B when DUT A use Bluetooth to transfer files to DUT B. (FR:5%).
625127,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-06-25 02:02:00,Intel CNVI Schematic?WLAN Module Layout Review
625127,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-06-25 02:02:00,Intel CNVI Schematic?WLAN Module Layout Review
625127,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-06-25 02:02:00,Intel CNVI Schematic?WLAN Module Layout Review
622656,AISTONE,,non_canonical_customer_no_title_brand,NA,AIstone,2021-06-15 18:29:00,[SPG][Whitebook][TGL-H][King County] BSOD when running cold boot and warm boot
622656,AISTONE,,non_canonical_customer_no_title_brand,NA,AIstone,2021-06-15 18:29:00,[SPG][Whitebook][TGL-H][King County] BSOD when running cold boot and warm boot
622656,AISTONE,,non_canonical_customer_no_title_brand,NA,AIstone,2021-06-15 18:29:00,[SPG][Whitebook][TGL-H][King County] BSOD when running cold boot and warm boot
617539,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-05-25 02:00:00,"[Realme][HUAQIN][Intel TGL][Intel AX201&Intel 9560][21H1]Bluetooth pairing failure display ""That didn't work.Make sure your Bluetooth device is still discoverable,then try again"""
617539,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-05-25 02:00:00,"[Realme][HUAQIN][Intel TGL][Intel AX201&Intel 9560][21H1]Bluetooth pairing failure display ""That didn't work.Make sure your Bluetooth device is still discoverable,then try again"""
617539,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-05-25 02:00:00,"[Realme][HUAQIN][Intel TGL][Intel AX201&Intel 9560][21H1]Bluetooth pairing failure display ""That didn't work.Make sure your Bluetooth device is still discoverable,then try again"""
617153,"COMPAL ELECTRONICS, INC.",,non_canonical_customer_no_title_brand,NA,"COMPAL ELECTRONICS, INC.",2021-05-24 01:32:00,intel9560 fail RSSI on ice lake platform
617153,"COMPAL ELECTRONICS, INC.",,non_canonical_customer_no_title_brand,NA,"COMPAL ELECTRONICS, INC.",2021-05-24 01:32:00,intel9560 fail RSSI on ice lake platform
617153,"COMPAL ELECTRONICS, INC.",,non_canonical_customer_no_title_brand,NA,"COMPAL ELECTRONICS, INC.",2021-05-24 01:32:00,intel9560 fail RSSI on ice lake platform
