ips_case_number,ips_owner_name,reporter,ips_created_date,ips_oem,jira_id,ips_jira_id,ips_title
682561,Zhiwei He,NA,2022-02-11 05:55:00,"Huaqin Technology Co., Ltd",,NA,"[HUAWEI][HUAQIN][KelvinF][Intel ADL][Intel AX 201][WIFI]Running Moderm standby stress appear ""Microsoft Wi-Fi Direct Virtual Adapter #2"" yellow bang"
682565,Zhiwei He,NA,2022-02-11 06:18:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIFI]The network quality signal is poor when Roam the other AP.
682565,Zhiwei He,NA,2022-02-11 06:18:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIFI]The network quality signal is poor when Roam the other AP.
682565,Zhiwei He,NA,2022-02-11 06:18:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIFI]The network quality signal is poor when Roam the other AP.
682910,Zhiwei He,NA,2022-02-14 04:06:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"(Copy Of 00668726) [Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][21H1] [WIFI] Connect WiFi to play video, and the WLAN driver appears  YB"
682910,Zhiwei He,NA,2022-02-14 04:06:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"(Copy Of 00668726) [Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][21H1] [WIFI] Connect WiFi to play video, and the WLAN driver appears  YB"
682910,Zhiwei He,NA,2022-02-14 04:06:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"(Copy Of 00668726) [Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][21H1] [WIFI] Connect WiFi to play video, and the WLAN driver appears  YB"
684066,Zhiwei He,NA,2022-02-17 05:24:00,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",,NA,[Huawei][Bitland[PanguC][Intel ADL][Intel AX 201][WIFI]Run CITU to report error when do CNVIIOMT test
684066,Zhiwei He,NA,2022-02-17 05:24:00,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",,NA,[Huawei][Bitland[PanguC][Intel ADL][Intel AX 201][WIFI]Run CITU to report error when do CNVIIOMT test
684066,Zhiwei He,NA,2022-02-17 05:24:00,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",,NA,[Huawei][Bitland[PanguC][Intel ADL][Intel AX 201][WIFI]Run CITU to report error when do CNVIIOMT test
