ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
624746,PANASONIC,NEC,title_brand_mismatch,NA,Panasonic Connect,2021-06-23 23:56:00,[GfP2][ADL] Wi-Fi 6E connection
624746,PANASONIC,NEC,title_brand_mismatch,NA,Panasonic Connect,2021-06-23 23:56:00,[GfP2][ADL] Wi-Fi 6E connection
624746,PANASONIC,NEC,title_brand_mismatch,NA,Panasonic Connect,2021-06-23 23:56:00,[GfP2][ADL] Wi-Fi 6E connection
624171,"COMPAL ELECTRONICS, INC.",LENOVO|NEC,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-22 02:27:00,"[Lenovo_IdeaPad][Compal][S550-14ITL][Windows October 2021 OS] Intel AX201:Unit Wifi show connected but can't surf the Internet. (F/R:1/2,3/10)"
624171,"COMPAL ELECTRONICS, INC.",LENOVO|NEC,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-22 02:27:00,"[Lenovo_IdeaPad][Compal][S550-14ITL][Windows October 2021 OS] Intel AX201:Unit Wifi show connected but can't surf the Internet. (F/R:1/2,3/10)"
624171,"COMPAL ELECTRONICS, INC.",LENOVO|NEC,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-22 02:27:00,"[Lenovo_IdeaPad][Compal][S550-14ITL][Windows October 2021 OS] Intel AX201:Unit Wifi show connected but can't surf the Internet. (F/R:1/2,3/10)"
623751,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-21 00:58:00,Dell/Compal][ADL][Odyssey][DRTU] AX411 6-7G power table is empty in DRTU
623751,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-21 00:58:00,Dell/Compal][ADL][Odyssey][DRTU] AX411 6-7G power table is empty in DRTU
623751,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-21 00:58:00,Dell/Compal][ADL][Odyssey][DRTU] AX411 6-7G power table is empty in DRTU
623075,INVENTEC CORPORATION,XIAOMI,title_brand_mismatch,NA,INVENTEC CORPORATION,2021-06-16 23:08:00,[Xiaomi][Inventec][A31[TGL-H35][AX201][20H2]The system will hang at Modern Standby .
623075,INVENTEC CORPORATION,XIAOMI,title_brand_mismatch,NA,INVENTEC CORPORATION,2021-06-16 23:08:00,[Xiaomi][Inventec][A31[TGL-H35][AX201][20H2]The system will hang at Modern Standby .
623075,INVENTEC CORPORATION,XIAOMI,title_brand_mismatch,NA,INVENTEC CORPORATION,2021-06-16 23:08:00,[Xiaomi][Inventec][A31[TGL-H35][AX201][20H2]The system will hang at Modern Standby .
622871,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-16 03:29:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]No reaction to remove the paired bluetooth mouse
622871,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-16 03:29:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]No reaction to remove the paired bluetooth mouse
622871,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-16 03:29:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]No reaction to remove the paired bluetooth mouse
622569,"HUAQIN TECHNOLOGY CO., LTD",HONOR|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-15 06:31:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]BR Bluetooth after pairing, the Bluetooth mouse enters the pairing state again, and the DUT shows that it is connected"
622569,"HUAQIN TECHNOLOGY CO., LTD",HONOR|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-15 06:31:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]BR Bluetooth after pairing, the Bluetooth mouse enters the pairing state again, and the DUT shows that it is connected"
622569,"HUAQIN TECHNOLOGY CO., LTD",HONOR|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-15 06:31:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]BR Bluetooth after pairing, the Bluetooth mouse enters the pairing state again, and the DUT shows that it is connected"
622135,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-11 22:44:00,"[XIAOMI][Bitland][A7R][Tiger Lake-H][AX200&AX201][19043.928][F/R2/2units,2/2cycle]The Machine can't enable sharing 5G hotspots"
622135,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-11 22:44:00,"[XIAOMI][Bitland][A7R][Tiger Lake-H][AX200&AX201][19043.928][F/R2/2units,2/2cycle]The Machine can't enable sharing 5G hotspots"
622135,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-11 22:44:00,"[XIAOMI][Bitland][A7R][Tiger Lake-H][AX200&AX201][19043.928][F/R2/2units,2/2cycle]The Machine can't enable sharing 5G hotspots"
