Issue key,Technology,Model Category,Category Confidence,Root Cause,Root Cause Theme
WIFI-714655,WIFI,Connectivity,0.3149849947360437,DCR-3341,Insufficient Root-Cause Detail
WIFI-704190,WIFI,Connectivity,0.13238909558649428,DCR-3341,Insufficient Root-Cause Detail
WIFI-697194,WIFI,Connectivity,0.12338273585059444,"same as WIFI-605715:
unicast action frame received on AUX PHY,
there was a bug on parsing the mac type of the RX packet.

When we receive packet on AUX Phy without specific address, we will FWD the packet to all the VIFs and the VIFs will parse the packet if needed.

due to the bug in RX parsing, the action frame was indicate twice to the OS.",Insufficient Root-Cause Detail
WIFI-691994,WIFI,Connectivity,0.15147483160410022,"The hidden UHB AP discovery API with FW uses the short SSID index to find which
SSID to use.
As we only allow 1 short SSID per channel to be scanned, it has to be the hidden
one.
Otherwise FW won't know how to scan it (the short SSID won't be set in the short
SSID bitmap of the channel)

in this case, the single short SSID slot was taken by another AP, so we didn't set the hidden AP short SSID",Firmware Config / Parameter / Tuning
WIFI-691867,WIFI,Connectivity,0.6633089119010276,described in bug,Insufficient Root-Cause Detail
WIFI-691354,WIFI,Connectivity,0.20079612343124817,"We didn't prioritize the PEER_PREFERRED_CHANNEL during the best channel selection.  Additionally, we haven't identified whether we are in INV/GON flows or in an AUTO GO scenario.",State Machine / Flow Handling
WIFI-687889,WIFI,Connectivity,0.25231936043415154,Race between rxTxFsm and the ImmBg task,State Machine / Flow Handling
WIFI-682006,WIFI,Connectivity,0.21769232803064617,"Remove the sysassert 0x13d and exit the rcm agg loop in case of timeout.
The problem is many small RX frames in AGG and the decoder feedback in HrP/GfP makes big delays.
https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/202312",Firmware Config / Parameter / Tuning
WIFI-677488,WIFI,Connectivity,0.7064120441099137,drips issue was fixed with HW WA in last canary and 23.150.0 pc spin.,Insufficient Root-Cause Detail
WIFI-676654,WIFI,Connectivity,0.19221455339480648,nan,Insufficient Root-Cause Detail
WIFI-671650,WIFI,BSOD,0.34293955568473805,"memalloc failures cause our ieMap to return NULL when searching for an IE.
in this case, we just accessed the IE right after getting it, without a null check, thus a BSOD occurred.",Insufficient Root-Cause Detail
WIFI-665615,WIFI,Connectivity,0.18932097273712678,"In getting while losing flow, we first deschedule the timepoint
then call _mvmSchedTerminateLosingPrepareEvent() that should end the
event.
But because the timepoint already descheduled,
_mvmSchedTerminateLosingPrepareEvent() does nothing and
the event left in running state.

Later this cause persistentLosing as we see the prepare losing
still running.

If we are in link deactivate flow, driver removes the phy
context right after deactivate. If we don't run immediately
context switch, driver will remove the context while
context is active. This cause assert 0x970.",State Machine / Flow Handling
WIFI-663175,WIFI,Performance,0.31311505015768165,Stall upscale in case previous SR was above 95 and current is less than 70,Insufficient Root-Cause Detail
WIFI-657509,WIFI,YB/Lost,0.1330124903688956,"the power sensor is initialized only after FW init
if no FW init, than all SAR manager with the driver would fail because the power sensor is uninitialized",Firmware Config / Parameter / Tuning
WIFI-648590,WIFI,Connectivity,0.99,"The issue root cause is “refactoring in MVM on link losing flow The problem was when driver deactivate link, MVM not deactivate the phy then when driver remove Phy it raise this assert”",State Machine / Flow Handling
WIFI-645737,WIFI,Connectivity,0.99,"2 Issues resolved:

1. Authentication Failure:
Handle scenarios where the SAE commit message is retransmitted (either STA→AP or AP→STA) in a more robust manner. The fix ensures that the second (duplicated) commit message from the AP is silently ignored, allowing the authentication process to continue.

2. Deauth frame is not sent to air when disconnecting:
Improve the deauth flow making sure the frame is transmitted to air.",State Machine / Flow Handling
WIFI-638770,WIFI,Connectivity,0.18068956521776397,Feature was disabled,Insufficient Root-Cause Detail
